Date : 2024-07-31 16:13:34
Directory : d:\RuoYi\RuoYi-Vue-master\ruoyi-ui
Total : 302 files,  28088 codes, 1010 comments, 1546 blanks, all 30644 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\utils\dict                                                                               |          6 |        162 |         57 |         21 |        240 |
| src\utils\generator                                                                          |          7 |      1,131 |          8 |         73 |      1,212 |
| src\views                                                                                    |         69 |     16,067 |        318 |        463 |     16,848 |
| src\views (Files)                                                                            |          7 |        862 |          3 |         59 |        924 |
| src\views\RecommendationSys                                                                  |          1 |        373 |         65 |         12 |        450 |
| src\views\RecommendationSys\InnerRecommendation                                              |          1 |        373 |         65 |         12 |        450 |
| src\views\activity                                                                           |          1 |        309 |         17 |          9 |        335 |
| src\views\activity\activities                                                                |          1 |        309 |         17 |          9 |        335 |
| src\views\articles                                                                           |          6 |      1,686 |         50 |         35 |      1,771 |
| src\views\articles\details                                                                   |          1 |        187 |          3 |          5 |        195 |
| src\views\articles\list                                                                      |          2 |        681 |         26 |         11 |        718 |
| src\views\articles\modify                                                                    |          1 |        146 |          3 |          9 |        158 |
| src\views\articles\myArticles                                                                |          1 |        338 |          9 |          5 |        352 |
| src\views\articles\review                                                                    |          1 |        334 |          9 |          5 |        348 |
| src\views\booksys                                                                            |          1 |        252 |          1 |          7 |        260 |
| src\views\booksys2                                                                           |          1 |        252 |          1 |          8 |        261 |
| src\views\booksys2\books2                                                                    |          1 |        252 |          1 |          8 |        261 |
| src\views\booksys\books                                                                      |          1 |        252 |          1 |          7 |        260 |
| src\views\dashboard                                                                          |          6 |        626 |          4 |         45 |        675 |
| src\views\dashboard (Files)                                                                  |          5 |        578 |          0 |         40 |        618 |
| src\views\dashboard\mixins                                                                   |          1 |         48 |          4 |          5 |         57 |
| src\views\doActivity                                                                         |          1 |        363 |         48 |         18 |        429 |
| src\views\doActivity\doActivities                                                            |          1 |        363 |         48 |         18 |        429 |
| src\views\error                                                                              |          2 |        315 |          0 |          8 |        323 |
| src\views\homePage                                                                           |          1 |        135 |          0 |         18 |        153 |
| src\views\homePage\themeOne                                                                  |          1 |        135 |          0 |         18 |        153 |
| src\views\monitor                                                                            |          9 |      2,057 |          4 |         58 |      2,119 |
| src\views\monitor\cache                                                                      |          2 |        378 |          0 |         13 |        391 |
| src\views\monitor\druid                                                                      |          1 |         15 |          0 |          1 |         16 |
| src\views\monitor\job                                                                        |          2 |        791 |          3 |         16 |        810 |
| src\views\monitor\logininfor                                                                 |          1 |        240 |          0 |          7 |        247 |
| src\views\monitor\online                                                                     |          1 |        117 |          0 |          6 |        123 |
| src\views\monitor\operlog                                                                    |          1 |        315 |          1 |          8 |        324 |
| src\views\monitor\server                                                                     |          1 |        201 |          0 |          7 |        208 |
| src\views\recHisList                                                                         |          1 |        326 |         57 |         10 |        393 |
| src\views\recHisList\rechistory                                                              |          1 |        326 |         57 |         10 |        393 |
| src\views\recommendationItem                                                                 |          1 |        389 |         48 |         12 |        449 |
| src\views\recommendationItem\recommendationItem                                              |          1 |        389 |         48 |         12 |        449 |
| src\views\system                                                                             |         18 |      4,852 |         15 |         94 |      4,961 |
| src\views\system\booksys                                                                     |          1 |        252 |          1 |          7 |        260 |
| src\views\system\booksys\books                                                               |          1 |        252 |          1 |          7 |        260 |
| src\views\system\config                                                                      |          1 |        336 |          1 |          7 |        344 |
| src\views\system\dept                                                                        |          1 |        334 |          1 |          6 |        341 |
| src\views\system\dict                                                                        |          2 |        735 |          2 |         12 |        749 |
| src\views\system\menu                                                                        |          1 |        446 |          1 |          6 |        453 |
| src\views\system\notice                                                                      |          2 |        323 |          1 |         10 |        334 |
| src\views\system\post                                                                        |          1 |        302 |          1 |          7 |        310 |
| src\views\system\role                                                                        |          3 |        924 |          3 |         14 |        941 |
| src\views\system\user                                                                        |          6 |      1,200 |          4 |         25 |      1,229 |
| src\views\system\user (Files)                                                                |          2 |        777 |          4 |         12 |        793 |
| src\views\system\user\profile                                                                |          4 |        423 |          0 |         13 |        436 |
| src\views\tool                                                                               |         13 |      3,270 |          5 |         70 |      3,345 |
| src\views\tool\build                                                                         |          6 |      2,152 |          2 |         44 |      2,198 |
| src\views\tool\gen                                                                           |          6 |      1,103 |          3 |         25 |      1,131 |
| src\views\tool\swagger                                                                       |          1 |         15 |          0 |          1 |         16 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                     | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\.eslintrc.js                                              | JavaScript |        195 |          3 |          2 |        200 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\README.md                                                 | Markdown   |         21 |          0 |          9 |         30 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\babel.config.js                                           | JavaScript |         10 |          3 |          0 |         13 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\bin\build.bat                                             | Batch      |          9 |          0 |          3 |         12 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\bin\package.bat                                           | Batch      |          9 |          0 |          3 |         12 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\bin\run-web.bat                                           | Batch      |          9 |          0 |          3 |         12 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\build\index.js                                            | JavaScript |         28 |          0 |          8 |         36 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\package.json                                              | JSON       |         95 |          0 |          1 |         96 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\public\html\ie.html                                       | HTML       |         45 |          0 |          1 |         46 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\public\index.html                                         | HTML       |        187 |          1 |         21 |        209 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\App.vue                                               | vue        |         27 |          0 |          3 |         30 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\RecommendationSys\InnerRecommendation.js          | JavaScript |         34 |          5 |          6 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\activity\activities.js                            | JavaScript |         34 |          5 |          6 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\articles\articles.js                              | JavaScript |         34 |          5 |          6 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\booksys2\books2.js                                | JavaScript |         34 |          5 |          6 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\booksys\books.js                                  | JavaScript |         34 |          5 |          6 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\doActivity\doActivities.js                        | JavaScript |         55 |          6 |          7 |         68 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\login.js                                          | JavaScript |         50 |          5 |          5 |         60 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\menu.js                                           | JavaScript |          7 |          1 |          1 |          9 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\cache.js                                  | JavaScript |         43 |          7 |          8 |         58 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\job.js                                    | JavaScript |         56 |          7 |          8 |         71 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\jobLog.js                                 | JavaScript |         20 |          3 |          4 |         27 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\logininfor.js                             | JavaScript |         26 |          4 |          5 |         35 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\online.js                                 | JavaScript |         14 |          2 |          3 |         19 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\operlog.js                                | JavaScript |         20 |          3 |          4 |         27 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\server.js                                 | JavaScript |          7 |          1 |          1 |          9 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\recHisList\rechistory.js                          | JavaScript |         34 |          5 |          6 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\recommendationItem\recommendationItem.js          | JavaScript |         34 |          5 |          6 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\config.js                                  | JavaScript |         46 |          7 |          8 |         61 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\dept.js                                    | JavaScript |         40 |          6 |          6 |         52 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\dict\data.js                               | JavaScript |         40 |          6 |          7 |         53 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\dict\type.js                               | JavaScript |         46 |          7 |          7 |         60 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\menu.js                                    | JavaScript |         46 |          7 |          7 |         60 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\notice.js                                  | JavaScript |         34 |          5 |          5 |         44 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\post.js                                    | JavaScript |         34 |          5 |          6 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\role.js                                    | JavaScript |         93 |         13 |         14 |        120 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\user.js                                    | JavaScript |        108 |         14 |         15 |        137 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\tool\gen.js                                       | JavaScript |         66 |         10 |         10 |         86 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\index.js                                 | JavaScript |          6 |          1 |          3 |         10 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\404.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\bug.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\build.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\button.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\cascader.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\chart.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\checkbox.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\clipboard.svg                        | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\code.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\color.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\component.svg                        | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\dashboard.svg                        | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\date-range.svg                       | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\date.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\dict.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\documentation.svg                    | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\download.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\drag.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\druid.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\edit.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\education.svg                        | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\email.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\example.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\excel.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\exit-fullscreen.svg                  | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\eye-open.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\eye.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\form.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\fullscreen.svg                       | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\github.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\guide.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\icon.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\input.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\international.svg                    | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\job.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\language.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\link.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\list.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\lock.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\log.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\logininfor.svg                       | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\message.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\money.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\monitor.svg                          | XML        |          2 |          0 |          0 |          2 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\nested.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\number.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\online.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\password.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\pdf.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\people.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\peoples.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\phone.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\post.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\qq.svg                               | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\question.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\radio.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\rate.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\redis-list.svg                       | XML        |          2 |          0 |          0 |          2 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\redis.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\row.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\search.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\select.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\server.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\shopping.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\size.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\skill.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\slider.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\star.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\swagger.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\switch.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\system.svg                           | XML        |          2 |          0 |          0 |          2 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\tab.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\table.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\textarea.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\theme.svg                            | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\time-range.svg                       | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\time.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\tool.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\tree-table.svg                       | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\tree.svg                             | XML        |          1 |          0 |          0 |          1 |
